Wines,Fruits,Fish,Sweets,Gold,NumDealsPurchases
11,1,2,1,6,2
11,4,10,3,5,2
520,42,0,42,14,2
635,88,172,88,88,3
426,49,111,21,42,1
520,42,0,42,14,2
235,65,50,49,27,4
76,10,3,1,23,2
14,0,3,3,2,1
28,0,1,1,13,1
6,16,11,1,16,1
194,61,225,112,30,1
233,2,3,5,14,3
3,14,6,1,5,1
1006,22,59,68,45,1
53,5,2,13,4,3
84,5,150,12,28,2
1012,80,0,16,176,2
4,17,30,24,39,2
86,2,69,38,48,1
1,1,1,1,1,15
867,0,0,0,19,3
384,0,21,32,5,3
270,3,39,6,99,7
6,4,15,12,13,2
173,4,3,6,41,4
36,2,20,21,10,2
684,100,21,66,0,1
8,4,2,2,4,2
112,17,34,22,89,1
110,0,2,0,3,2
96,12,33,22,43,6
482,34,119,68,22,1
40,0,2,1,3,1
702,17,0,8,35,5
6,3,15,7,36,3
55,0,2,0,4,2
437,8,160,49,42,2
421,76,82,178,102,2
13,1,3,0,7,2
9,0,3,1,3,1
3,1,3,2,12,3
123,164,227,30,174,1
3,18,15,22,50,3
13,6,3,5,13,1
826,50,50,38,38,9
245,19,37,67,14,1
650,37,27,167,32,1
12,6,30,1,3,2
510,120,156,40,241,1
328,9,12,24,109,7
984,51,180,120,190,1
295,35,121,120,40,1
13,0,2,1,5,1
447,0,0,0,43,3
712,26,69,13,80,1
452,18,16,18,6,4
523,7,37,14,169,4
546,0,0,6,6,1
398,40,119,122,30,1
1,3,3,6,15,1
10,0,0,0,0,1
688,14,201,24,38,1
247,49,7,82,109,1
856,59,58,29,73,7
496,36,189,60,12,3
258,107,84,37,86,4
565,6,0,6,19,5
14,10,4,15,9,1
2,1,2,1,1,1
721,111,97,18,18,1
1032,105,137,105,51,0
1,0,0,3,9,1
577,0,0,0,51,2
64,4,7,5,17,4
4,1,2,0,4,1
25,5,7,0,23,3
112,17,34,22,89,1
163,23,27,65,76,1
17,8,10,4,3,2
130,0,0,0,5,5
292,6,0,3,34,4
350,60,110,133,145,1
135,9,4,0,7,1
15,2,0,1,4,1
27,2,0,0,0,3
5,3,12,5,9,1
505,0,0,0,75,5
51,2,0,1,2,2
207,26,75,0,223,1
135,46,65,61,11,2
53,1,2,1,10,2
41,1,2,0,5,2
386,172,185,132,111,2
562,81,80,40,81,1
217,76,50,26,38,1
1,3,10,0,9,1
144,1,2,1,7,4
295,106,75,98,65,4
76,3,4,4,27,2
454,194,31,22,43,1
425,115,23,35,79,1
1332,17,23,51,86,1
527,0,0,0,60,3
490,44,29,20,22,1
378,0,0,0,72,5
64,1,0,1,27,2
547,99,151,82,33,0
47,90,123,103,120,5
12,5,0,9,30,2
1,6,11,5,3,2
320,48,39,72,48,4
34,3,0,4,10,3
9,0,3,4,7,2
17,0,7,3,2,1
722,27,44,72,168,0
162,33,40,28,172,2
450,133,173,0,216,1
70,0,0,0,4,2
492,19,16,12,12,4
120,58,65,89,58,5
534,5,0,5,41,5
236,106,23,41,130,1
220,0,3,0,23,5
796,14,38,44,0,1
0,1,10,6,9,2
53,1,2,0,16,3
15,0,4,2,20,2
17,1,3,1,4,2
962,61,52,61,20,1
738,0,13,20,50,2
399,28,36,40,126,1
614,16,43,33,33,3
32,34,73,16,116,3
598,16,32,41,49,3
2,1,20,11,16,1
6,1,0,1,4,1
73,3,12,1,32,7
42,16,12,20,8,1
295,21,39,13,13,1
346,17,23,13,13,4
233,20,8,20,91,4
5,7,19,14,20,4
888,0,0,0,76,2
997,26,34,13,42,1
212,6,4,12,3,3
8,1,2,0,0,1
42,11,10,28,14,1
536,11,149,91,57,1
5,0,0,0,5,1
1349,16,43,16,33,2
53,3,7,4,5,4
1001,12,16,12,12,1
20,2,1,2,1,15
18,1,6,3,28,3
125,16,134,21,27,1
212,5,7,0,2,1
277,162,173,76,124,1
15,10,8,17,20,3
7,3,8,1,7,2
12,4,11,8,16,2
85,7,2,3,27,1
81,0,0,0,6,2
59,0,0,0,48,1
1149,71,69,71,26,1
847,66,86,89,111,1
29,0,0,0,2,2
2,0,2,0,1,1
207,26,75,0,223,1
152,3,2,5,7,1
12,11,3,12,9,3
620,26,34,17,141,1
47,1,0,0,12,1
1,9,2,14,10,1
10,1,10,4,7,1
35,0,0,0,2,2
356,0,19,9,117,2
783,30,140,76,15,1
42,1,3,0,4,2
1,4,29,0,36,1
466,22,147,113,102,1
23,3,3,19,22,2
235,6,8,9,12,4
10,0,3,1,7,2
656,16,32,16,8,1
519,17,27,173,51,1
344,189,50,33,172,1
96,1,7,1,79,6
448,4,6,4,39,3
265,138,224,23,92,1
587,43,42,87,54,3
763,29,76,176,58,0
22,0,0,0,3,2
6,4,7,2,15,1
7,6,7,6,14,1
81,18,47,13,21,6
54,0,0,0,4,1
1170,48,42,32,192,5
72,24,65,4,8,5
613,22,33,102,12,1
224,0,0,0,10,8
410,0,19,9,44,10
239,10,254,87,54,1
171,7,25,19,89,6
12,0,0,0,1,1
1076,16,42,48,16,1
182,4,0,0,66,2
824,32,42,32,43,2
30,11,29,1,18,1
377,10,80,30,10,1
520,7,19,0,14,2
155,1,0,1,3,4
897,23,15,11,92,5
131,0,2,1,39,4
297,7,0,11,182,2
787,20,0,0,92,3
792,86,67,51,17,1
4,1,3,0,0,1
231,7,4,15,39,9
983,76,180,138,27,1
3,1,4,3,3,1
0,4,6,0,4,1
562,21,28,10,32,3
5,9,6,8,21,2
18,0,0,0,1,1
415,5,15,35,11,1
5,3,12,7,20,4
901,61,186,163,20,1
382,114,75,124,38,2
14,1,2,1,1,1
559,153,218,13,181,1
789,0,0,28,152,7
11,0,0,0,1,2
1218,16,104,0,80,2
925,64,133,12,77,2
864,134,150,38,172,1
960,28,220,70,70,4
16,3,6,1,13,2
3,3,0,2,11,2
168,148,32,172,148,1
45,47,21,20,25,2
650,28,45,42,30,5
